ID,Nome,Quantidade,Preco,Fornecedor
16001,Farfalline,1,31.41,Galo
16002,Gnocchi,1,,59.26,Galo
16003,Rigatoni,2,53.58,Galo
16004,Penne,3,97.93,Galo
16005,Fusilli,5,23.84,Galo
16006,Conchiglie,8,6.26,Galo
16007,Fibonacci,13,43.38,Galo
16008,Tagliatelle,21,32.79,Galo
16009,Spaghetti,34,50.28,Galo
16010,Linguine,55,84.19,Galo
16011,Lasagne,89,71.69,Galo
16012,Fettuccine,144,39.93,Galo
16013,Fedelini,233,75.10,Galo
16014,Bavette,377,58.20,Galo
16015,Bucatini,610,97.49,Galo
16016,Cavatappi,987,445.92,Galo
