ID,Nome,Quantidade,Preco,Fornecedor
55001,"Milho Enlatado",300,3.50,"Zeca conservas"
55002,"Ervilha Enlatada",250,4.20,"Zeca conservas"
55003,"Tomate Pelado",400,5.00,"Tomate ltda"
55004,"Atum em Óleo",100,7.50,"Enlatados ltda"
55005,"Sardinha em Tomate",100,6.80,"Enlatados ltda"
55006,"Feijão Preto Enlatado",200,4.00,"Camil"
55007,"Grão de Bico",200,6.00,"Zeca conservas"
55008,"Molho de Tomate",500,3.90,"Elefante"
55009,"Azeitonas Verdes",3000,8.50,"Las azeitonas"
55010,"Palmito em Conserva",600,12.00,"Vale Fertil"
