ID,Nome,Quantidade,Preco,FornecedorID
70000,"Papel Higiênico",30,25.00,00024
70001,"Sabonete Líquido",25,18.50,00025
70002,"Shampoo",35,22.90,00024
70003,"Condicionador",30,24.00,00025
70004,"Creme Dental",40,12.00,00026
70005,"Fio Dental",20,8.50,00026
70006,"Desodorante Roll-on",25,15.90,00024
70007,"Absorvente Higiênico",30,14.00,00025
70008,"Lâmina de Barbear",20,9.90,00026
70009,"Hidratante Corporal",25,28.50,00024
70010,"Lenço Umedecido",40,19.90,00025
70011,"Escova De Dentes",35,7.50,00026
