ID,Nome,Quantidade,Preco,FornecedorID
16001,Farfalline,1,31.41,00033
16002,Gnocchi,1,59.26,00033
16003,Rigatoni,2,53.58,00033
16004,Penne,3,97.93,00033
16005,Fusilli,5,23.84,00033
16006,Conchiglie,8,6.26,00033
16007,Fibonacci,13,43.38,00033
16008,Tagliatelle,21,32.79,00033
16009,Spaghetti,34,50.28,00033
16010,Linguine,55,84.19,00033
16011,Lasagne,89,71.69,00033
16012,Fettuccine,144,39.93,00033
16013,Fedelini,233,75.10,00033
16014,Bavette,377,58.20,00033
16015,Bucatini,610,97.49,00033
16016,Cavatappi,987,445.92,00033
16017,Conchiglioni,1597,23.84,00033
16018,Ditalini,2584,6.26,00033
16019,Farfalle,4181,43.38,00033
