ID,Nome,Quantidade,Preco,FornecedorID
40001,"Alface",5000,0.5,00040 
40002,"Cebolinha",5000,0.8,00040
40003,"Salsinha",5000,0.7,00040
40004,"Brocólis",5000,0.9,00040
40005,"Cenoura",5300,0.5,00041
40006,"Repolho",6200,0.4,00041
40007,"Rúcula",7000,1.2,00041
40008,"Batata",6800,0.2,00041
40009,"Jiló",5000,0.2,00042
40010,"Abobora",5900,0.2,00042
40011,"Espinafre", 10000,1.2,00042
40012,"Acelga",12400,1.0,00042
40013,"Almeirao",12550,1.9,00042
40014,"Couve-flor",10600,1.6,00042
40015,"Alcachofra",14580,1.4,00042
40016,"Aspargo",13965,0.6,00042
40017,"Mandioca",900,0.85,00042 

